// 用户												
[User]												
Id	username	password	JS									
1	admin	password(123456)	系统管理员									
2	PPJL1	password(123456)	品牌经理									
3	PPJL2	password(123456)	品牌经理									
4	PPJL3	password(123456)	品牌经理									
5	PPJL4	password(123456)	品牌经理									
6	PPJL5	password(123456)	品牌经理									
7	PPJL6	password(123456)	品牌经理									
8	KFJL1	password(123456)	客服经理									
9	KFJL2	password(123456)	客服经理									
10	KFJL3	password(123456)	客服经理									
11	KFJL4	password(123456)	客服经理									
12	KFJL5	password(123456)	客服经理									
13	KFJL6	password(123456)	客服经理									
14	GZ1	password(123456)	柜长									
15	GZ2	password(123456)	柜长									
16	GZ3	password(123456)	柜长									
17	GTBA1	password(123456)	柜台BA									
18	GTBA2	password(123456)	柜台BA									
19	GTBA3	password(123456)	柜台BA									
20	GTBA4	password(123456)	柜台BA									
21	GTBA5	password(123456)	柜台BA									
22	GTBA6	password(123456)	柜台BA									
23	GTBA7	password(123456)	柜台BA									
24	GTBA8	password(123456)	柜台BA									
25	GTBA9	password(123456)	柜台BA									
26	GYSGLY1	password(123456)	供应商管理员									
27	GYSGLY2	password(123456)	供应商管理员									
28	GYSGLY3	password(123456)	供应商管理员									
29	ZHY1	password(123456)	装货员									
30	ZHY2	password(123456)	装货员									
31	ZHY3	password(123456)	装货员									
32	AZGSGLY1	password(123456)	安装公司管理员									
33	AZGSGLY2	password(123456)	安装公司管理员									
34	AZG1	password(123456)	安装工									
35	AZG2	password(123456)	安装工									
36	AZG3	password(123456)	安装工									
37	AZG4	password(123456)	安装工									
38	AZG5	password(123456)	安装工									
39	AZG6	password(123456)	安装工									
40	ZHY4	password(123456)	装货员									
41	GTBA10	password(123456)	柜台BA									
42	GZ4	password(123456)	柜长									
43	GTBA11	password(123456)	柜台BA									
44	GYSGLY6	password(123456)	供应商管理员									
45	AZGSGLY5	password(123456)	安装公司管理员									
												
// 品牌												
[PP]												
id	name											
1	PP1											
2	PP2											
3	PP3											
4	PP4											
5	PP5											
6	PP6											
7	PP7											
												
[PPJL_PP]												
UserId	PPId											
2	1											
3	2											
5	4											
6	5											
7	6											
												
[KFJL_PP]												
UserId	PPId											
8	1											
9	2											
11	4											
12	5											
13	6											
												
[GZ_PP]												
UserId	PPId											
14	1											
15	1											
16	2											
42	7											
												
// 柜台												
[GT]												
id	name	code	PPId	QY	GTBAUserId	GZUserId	CS					
1	GT1	1	1	东区	17	14	上海					
2	GT2	2	1	东区	18	14	上海					
3	GT3	3	1	北区	19	15	北京					
4	GT4	4	1	北区	20	15	北京					
5	GT5	5	2	东区	21	16	广州					
												
[GT]												
id	name	code	PPId	QY	GTBAUserId	CS						
6	GT6	6	3	东区	22	上海						
